"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"650","일반음식점","07_24_04_P","3470000","3470000-101-2023-00433","2023-09-20","","03","폐업","02","폐업","2024-08-01","","","","","47.28","704-801","대구광역시 달서구 대천동 940 비스타2","대구광역시 달서구 조암남로32길 20-8, 비스타2 1층 114호 (대천동)","42759","회도라해물포차","2024-08-01 12:28:45","U","2024-08-03 02:40:00","한식","337027.127589387","258652.345865557","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","47.28","","","",
"651","일반음식점","07_24_04_P","3020000","3020000-101-2023-00383","2023-09-20","","03","폐업","02","폐업","2023-10-25","","","","","","140-780","서울특별시 용산구 한강로3가 40-999 용산역","서울특별시 용산구 한강대로23길 55, 용산아이파크몰 패션파크 6층 일부호 (한강로3가)","04377","노티드 용산아이파크몰","2023-10-26 04:15:09","U","2023-10-28 02:40:00","기타","196762.077394917","447480.039577359","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"652","일반음식점","07_24_04_P","3100000","3100000-101-2023-00325","2023-10-10","","03","폐업","02","폐업","2023-10-14","","","","","","139-860","서울특별시 노원구 중계동 362-2 영복교회","서울특별시 노원구 한글비석로5길 82, 영복교회 옆 양지근린공원 (중계동)","01745","왕골감자탕","2023-10-15 04:15:09","U","2023-10-17 02:40:00","한식","206501.770204848","460532.031709561","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"653","일반음식점","07_24_04_P","3100000","3100000-101-2023-00324","2023-10-06","","03","폐업","02","폐업","2023-10-19","","","","031 714 8249","","139-708","서울특별시 노원구 상계동 713 롯데백화점","서울특별시 노원구 동일로 1414, 롯데백화점 지하1층 (상계동)","01695","훈스파이","2023-10-20 04:15:09","U","2023-10-22 02:40:00","기타","205320.28476675","461419.881795004","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"654","일반음식점","07_24_04_P","3390000","3390000-101-2023-00133","2023-10-10","","03","폐업","02","폐업","2023-10-23","","","","","0.00","617-825","부산광역시 사상구 삼락동 29-52 사상생태공원 럭비구장 일원","","","한국자유총연맹 부산사상구지회","2023-10-23 10:39:16","U","2023-10-25 02:40:00","한식","379790.090790677","187153.990719661","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"655","일반음식점","07_24_04_P","3040000","3040000-101-2023-00451","2023-11-24","","03","폐업","02","폐업","2024-06-03","","","","","29.37","143-903","서울특별시 광진구 중곡동 221-44 1층","서울특별시 광진구 긴고랑로13길 19, 1층 (중곡동)","04909","숯불꼼장어. 막창","2024-06-03 15:33:35","U","2024-06-05 02:40:00","한식","207171.734586768","451237.478025534","한식","0","0","","","","0","0","0","0","0","","0","0","N","29.37","","","",
"656","일반음식점","07_24_04_P","3040000","3040000-101-2023-00449","2023-11-24","","03","폐업","02","폐업","2024-07-10","","","","","70.97","143-841","서울특별시 광진구 자양동 5-4 1층 101,102호","서울특별시 광진구 동일로18길 107, 1층 101,102호 (자양동)","05073","라사천마라탕건대점","2024-07-10 15:13:06","U","2024-07-12 02:40:00","중국식","206000.795709589","448457.946316088","중국식","0","0","","","","0","0","0","0","0","","0","0","N","70.97","","","",
"657","일반음식점","07_24_04_P","3210000","3210000-101-2023-00566","2023-11-24","","03","폐업","02","폐업","2024-05-29","","","","","33.00","137-879","서울특별시 서초구 서초동 1627-5 교대빌딩","서울특별시 서초구 사임당로12길 17, 교대빌딩 B동 105호 (서초동)","06640","겟잇(Get Eat)","2024-05-29 15:55:24","U","2024-05-31 02:40:00","기타","201449.844532756","442900.247176304","기타","0","0","","","","0","0","0","0","0","","0","0","N","33","","","",
"658","일반음식점","07_24_04_P","3210000","3210000-101-2023-00565","2023-11-24","","03","폐업","02","폐업","2023-12-31","","","","","","137-713","서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 식품관","서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 식품관 (반포동)","06546","훈스파이","2024-01-01 04:15:09","U","2024-01-03 02:40:00","기타","200250.447804795","444683.220506107","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"659","일반음식점","07_24_04_P","3120000","3120000-101-2023-00404","2023-11-23","","03","폐업","02","폐업","2023-11-30","","","","","","120-706","서울특별시 서대문구 창천동 30-33 현대백화점신촌점 지하1층","서울특별시 서대문구 신촌로 83, 현대백화점신촌점 지하1층 (창천동)","03789","금덕푸드(충무로가는길)","2023-12-01 04:15:09","U","2023-12-03 02:40:00","한식","194265.067639805","450433.691021245","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
